sr_no,sector,line_ministry,implementing_agency,project_code,project_name,original_cost,revised_cost,expenditure,physical_progress,original_completion_date,revised_completion_date,sanction_date,cost_overrun_percent,expenditure_ratio,snapshot_month
1,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],706718,C/o NITB Imphal Airport,499,499.0,161.3,43,13/07/2024,31/12/2026,01/11/2021,0.0,32.324649298597194,Jan_2026
2,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],701121,Construction of New Domestic Terminal Building at Rajahmundry Airport.,347,0.0,135.95,73,13/08/2025,31/03/2026,30/12/2022,-100.0,39.178674351585016,Jan_2026
3,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],701101,"Construction of New Domestic Terminal Building [Phase-I and II] and other allied structures at JPNI Airport, Patna",1217,1216.9,1182.02,97,31/05/2026,31/05/2026,27/12/2018,-0.00821692686934339,97.12571898110106,Jan_2026
4,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],612788,Construction of New Domestic Terminal Building and Miscellaneous Works at Belagavi Airport.,322,0.0,170.49,74,01/02/2026,30/04/2026,02/06/2023,-100.0,52.947204968944106,Jan_2026
5,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],612787,Construction of New Domestic Terminal Building and Miscellaneous works at Hubli Airport,320,0.0,112.06,64,21/01/2026,30/06/2026,02/06/2023,-100.0,35.01875,Jan_2026
6,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],612786,"Construction of New Domestic Terminal Building Building and miscellaneous works including maintenance, operations and AICMC at Kadapa Airport",266,0.0,97.14,50,27/01/2026,31/05/2026,10/03/2023,-100.0,36.5187969924812,Jan_2026
7,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],701128,Construction of New Integrated Passenger Terminal Building at Udaipur Airport,887,887.0,479.75,59,10/03/2026,26/09/2026,21/06/2023,0.0,54.08680947012401,Jan_2026
8,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],701107,Construction of New Integrated Terminal Building and associated works including apron to park 3 code E type of aircraft or 6 code C type of aircraft at Vijayawada Airport.,612,611.8,523.14,87,04/09/2022,31/07/2026,17/06/2020,-0.03267973856209894,85.48039215686273,Jan_2026
9,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],701127,Construction of New Passenger Terminal Building for Domestic Operations at Jodhpur Airport.,480,480.0,331.35,95,31/03/2026,31/01/2026,01/06/2022,0.0,69.03125,Jan_2026
10,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],611047,"Construction of NTB complex including apron, taxi track and other associated civil works and electrical & mechanical installations towards Tawi River side at CA Jammu.",861,861.37,271.48,46,21/06/2026,21/06/2026,10/10/2023,0.04297328687572643,31.530778164924513,Jan_2026
